#,Emoticon,Meaning,Votes
654,m( ﾟ皿ﾟ)m★━━,Laser,250.0
655,l8r),Later,300.0
656,(＾▽＾),Laughing,132.0
657,=D,Laughing Out Loud,100.0
658,:.-),Laughing Tears,400.0
659,({),Left Hug,300.0
660,)-:,Left-handed Sad Face,200.0
661,(-:,Left-handed Smiley Face,100.0
662,(‾ʖ̫‾),Lethargic,200.0
663,:^o,Liar Liar,300.0
664,ლ(´ڡ`ლ),Licking,229.0
665,#-),Lieutenant LaForge,450.0
666,¤\( `⌂´ )/¤,Lifting weights,250.0
667,(i),Light Bulb,300.0
668,(li),Lightning,300.0
669,(Y),Like,200.0
670,:3,Lion,200.0
671,:-#,Lips are Sealed,300.0
672,:(),Lipstick,300.0
673,d-_-b,Listening to Music,133.0
674,[{>.<}],Listening to music,250.0
675,_\\//,Live Long and Prosper,300.0
676,>-<,Livid,267.0
677,~~I==I>,Lizard,277.0
678,☉ϖ☉,Lobster,275.0
679,:P@---,Lollipop,233.0
680,:~),Long Nose,300.0
681,<@> <@>,Look at Me,300.0
682,>.>,Looking,175.0
683,<.< >.>,Looking Around,250.0
684,<*_*>,Looking at You,300.0
685,L-),Loser,233.0
686,:-{},Lots of Lipstick,300.0
687,<3,Love,200.0
688,:x,Love Struck,400.0
689,(ෆ ͒•∘̬• ͒)◞,Lovestruck,225.0
690,(ɔ◔‿◔)ɔ ♥,Loving,139.0
691,(ɔˆ ³(ˆ⌣ˆc),Loving couple,200.0
692,o@=<,Lying Down,400.0
693,(m)(m)(m),M&Ms,433.0
694,>_<,Mad,157.0
695,:-.),Madonna,300.0
696,{8-*,Maggie Simpson,400.0
697,(∩｀-´)⊃━☆ﾟ.*･｡ﾟ,Magic Attack,171.0
698,（*・)｢｣｢｣,Magic Casting,336.0
699,(o • ω • O)つ—♡☆.。.:*・°♡,Magic casting,200.0
700,<*:-),Magician,450.0
701,(makeup),Make-up,400.0
702,(malthe),Malthe,180.0
703,0-|-[,Man,200.0
704,(@@@@):^),Marge Simpson,250.0
705,(#-[,Marine,300.0
706,☺ ☺ ♥ /|\./|\ ┴ ┴,Married,225.0
707,-----(_)-,Marshmallow,400.0
708,(.!.),Martian,200.0
709,Q>--|,Martini,400.0
710,|>--|,Martini Glass,200.0
711,/--\,Maximilian,500.0
712,>:-I,Mean,300.0
